HEX	CN_NANE	JP_NANE	EN_NANE
07C4	熊宝宝的爪子		Teddiursa Claw
07C5	信使鸟的行李		Delibird Parcel
07C6	戴鲁比的牙		Houndour Fang
07C7	小小象的爪子		Phanpy Nail
07C8	惊角鹿的毛		Stantler Hair
07C9	幼基拉斯的爪子		Larvitar Claw
07CA	长翅鸥的羽毛		Wingull Feather
07CB	拉鲁拉丝的掉落物		Ralts Dust
07CC	溜溜糖球的蜜		Surskit Syrup
07CD	蘑蘑菇的孢子		Shroomish Spores
07CE	懒人獭的毛		Slakoth Fur
07CF	幕下力士的汗		Makuhita Sweat
07D0	露力丽的毛		Azurill Fur
07D1	勾魂眼的宝石		Sableye Gem
07D2	玛沙那的汗		Meditite Sweat
07D3	溶食兽的黏液		Gulpin Mucus
07D4	呆火驼的熔岩		Numel Lava
07D5	煤炭龟的煤炭		Torkoal Coal
07D6	跳跳猪的珍珠		Spoink Pearl
07D7	刺球仙人掌的刺		Cacnea Needle
07D8	青绵鸟的羽毛		Swablu Fluff
07D9	猫鼬斩的爪子		Zangoose Claw
07DA	饭匙蛇的牙		Seviper Fang
07DB	泥泥鳅的黏液		Barboach Slime
07DC	怨影娃娃的残片		Shuppet Scrap
07DD	热带龙的叶片		Tropius Leaf
07DE	雪童子的毛		Snorunt Fur
07DF	爱心鱼的鳞片		Luvdisc Scales
07E0	宝贝龙的鳞片		Bagon Scales
07E1	姆克儿的羽毛		Starly Feather
07E2	圆法师的蜕壳		Kricketot Shell
07E3	小猫怪的牙		Shinx Fang
07E4	三蜜蜂的蜜		Combee Honey
07E5	帕奇利兹的毛		Pachirisu Fur
07E6	泳圈鼬的毛		Buizel Fur
07E7	无壳海兔的黏液		Shellos Mucus
07E8	飘飘球的气体		Drifloon Gas
07E9	臭鼬噗的毛		Stunky Fur
07EA	铜镜怪的碎片		Bronzor Fragment
07EB	盆才怪的眼泪		Bonsly Tears
07EC	小福蛋的掉落物		Happiny Dust
07ED	花岩怪的碎片		Spiritomb Fragment
07EE	圆陆鲨的鳞片		Gible Scales
07EF	利欧路的毛		Riolu Fur
07F0	沙河马的沙		Hippopotas Sand
07F1	不良蛙的毒素		Croagunk Poison
07F2	荧光鱼的鳞片		Finneon Scales
07F3	雪笠怪的果实		Snover Berries
07F4	洛托姆的电力		Rotom Sparks
07F5	百合根娃娃的叶片		Petilil Leaf
07F6	野蛮鲈鱼的牙		Basculin Fang
07F7	黑眼鳄的爪子		Sandile Claw
07F8	索罗亚的毛		Zorua Fur
07F9	哥德宝宝的睫毛		Gothita Eyelash
07FA	四季鹿的毛		Deerling Hair
07FB	哎呀球菇的孢子		Foongus Spores
07FC	保姆曼波的黏液		Alomomola Mucus
07FD	麻麻小鱼的黏液		Tynamo Slime
07FE	牙牙的鳞片		Axew Scales
07FF	喷嚏熊的毛		Cubchoo Fur
0800	几何雪花的冰		Cryogonal Ice
0801	驹刀小兵的刀		Pawniard Blade
0802	毛头小鹰的羽毛		Rufflet Feather
0803	单首龙的鳞片		Deino Scales
0804	燃烧虫的毛		Larvesta Fuzz
0805	小箭雀的羽毛		Fletchling Feather
0806	粉蝶虫的粉		Scatterbug Powder
0807	小狮狮的鬃毛		Litleo Tuft
0808	花蓓蓓的花粉		Flabébé Pollen
0809	坐骑小羊的叶片		Skiddo Leaf
080A	垃垃藻的碎藻		Skrelp Kelp
080B	铁臂枪虾的钳子		Clauncher Claw
080C	摔角鹰人的羽绒		Hawlucha Down
080D	咚咚鼠的毛		Dedenne Fur
080E	黏黏宝的黏液		Goomy Goo
080F	钥圈儿的钥匙		Klefki Key
0810	冰宝的冰		Bergmite Ice
0811	嗡蝠的毛		Noibat Fur
0812	猫鼬少的毛		Yungoos Fur
0813	好胜蟹的壳		Crabrawler Shell
0814	花舞鸟的羽毛		Oricorio Feather
0815	岩狗狗的岩石		Rockruff Rock
0816	好坏星的刺		Mareanie Spike
0817	泥驴仔的泥巴		Mudbray Mud
0818	伪螳草的叶片		Fomantis Leaf
0819	夜盗火蜥的气体		Salandit Gas
081A	甜竹竹的汗		Bounsweet Sweat
081B	智挥猩的毛		Oranguru Fur
081C	投掷猴的毛		Passimian Fur
081D	沙丘娃的沙		Sandygast Sand
081E	树枕尾熊的爪子		Komala Claw
081F	谜拟丘的残片		Mimikyu Scrap
0820	磨牙彩皮鱼的牙齿		Bruxish Tooth
0821	咬咬龟的爪子		Chewtle Claw
0822	贪心栗鼠的毛		Skwovet Fur
0823	刺梭鱼的鳞片		Arrokuda Scales
0824	稚山雀的羽毛		Rookidee Feather
0825	电音婴的电力		Toxel Sparks
0826	列阵兵的汗		Falinks Sweat
0827	铜象的锈		Cufant Tarnish
0828	小炭仔的煤炭		Rolycoly Coal
0829	沙包蛇的沙		Silicobra Sand
082A	爱管侍的毛		Indeedee Fur
082B	啪嚓海胆的针		Pincurchin Spines
082C	雪吞虫的丝		Snom Thread
082D	捣蛋小妖的毛		Impidimp Hair
082E	啃果虫的果汁		Applin Juice
082F	来悲茶的碎片		Sinistea Chip
0830	迷布莉姆的掉落物		Hatenna Dust
0831	巨石丁的岩石		Stonjourner Stone
0832	冰砌鹅的羽绒		Eiscue Down
0833	多龙梅西亚的粉		Dreepy Powder
0837	爱吃豚的毛		Lechonk Hair
0838	团珠蛛的丝		Tarountula Thread
0839	豆蟋蟀的爪子		Nymble Claw
083A	虫滚泥的泥巴		Rellor Mud
083B	墓仔狗的蜡		Greavard Wax
083C	飘飘雏的羽绒		Flittle Down
083D	海地鼠的沙		Wiglett Sand
083E	吃吼霸的胡须		Dondozo Whisker
083F	轻身鳕的鱼片		Veluza Fillet
0840	波普海豚的黏液		Finizen Mucus
0841	迷你芙的油		Smoliv Oil
0842	热辣娃的种子		Capsakid Seed
0843	光蚪仔的黏液		Tadbulb Mucus
0844	噗隆隆的气体		Varoom Fume
0845	拖拖蚓的锈		Orthworm Tarnish
0846	一对鼠的毛		Tandemaus Fur
0847	走鲸的油脂		Cetoddle Grease
0848	凉脊龙的鳞片		Frigibax Scales
0849	米立龙的鳞片		Tatsugiri Scales
084A	摩托蜥的鳞片		Cyclizar Scales
084B	布拨的毛		Pawmi Fur
084E	电海燕的羽毛		Wattrel Feather
084F	下石鸟的羽毛		Bombirdier Feather
0850	怒鹦哥的羽毛		Squawkabilly Feather
0851	缠红鹤的羽绒		Flamigo Down
0852	毛崖蟹的钳子		Klawf Claw
0853	盐石宝的盐		Nacli Salt
0854	晶光芽的结晶		Glimmet Crystal
0855	滋汁鼹的墨汁		Shroodle Ink
0856	狗仔包的毛		Fidough Fur
0857	偶叫獒的牙		Maschiff Fang
0858	纳噬草的枝条		Bramblin Twig
0859	索财灵的硬币		Gimmighoul Coin
086C	小锻匠的毛		Tinkatink Hair
086D	炭小侍的煤灰		Charcadet Soot
086E	原野水母的薄片		Toedscool Flaps
086F	乌波的黏液		Wooper Slime
0870	招式学习器１００		TM100
0871	招式学习器１０１		TM101
0872	招式学习器１０２		TM102
0873	招式学习器１０３		TM103
0874	招式学习器１０４		TM104
0875	招式学习器１０５		TM105
0876	招式学习器１０６		TM106
0877	招式学习器１０７		TM107
0878	招式学习器１０８		TM108
0879	招式学习器１０９		TM109
087A	招式学习器１１０		TM110
087B	招式学习器１１１		TM111
087C	招式学习器１１２		TM112
087D	招式学习器１１３		TM113
087E	招式学习器１１４		TM114
087F	招式学习器１１５		TM115
0880	招式学习器１１６		TM116
0881	招式学习器１１７		TM117
0882	招式学习器１１８		TM118
0883	招式学习器１１９		TM119
0884	招式学习器１２０		TM120
0885	招式学习器１２１		TM121
0886	招式学习器１２２		TM122
0887	招式学习器１２３		TM123
0888	招式学习器１２４		TM124
0889	招式学习器１２５		TM125
088A	招式学习器１２６		TM126
088B	招式学习器１２７		TM127
088C	招式学习器１２８		TM128
088D	招式学习器１２９		TM129
088E	招式学习器１３０		TM130
088F	招式学习器１３１		TM131
0890	招式学习器１３２		TM132
0891	招式学习器１３３		TM133
0892	招式学习器１３４		TM134
0893	招式学习器１３５		TM135
0894	招式学习器１３６		TM136
0895	招式学习器１３７		TM137
0896	招式学习器１３８		TM138
0897	招式学习器１３９		TM139
0898	招式学习器１４０		TM140
0899	招式学习器１４１		TM141
089A	招式学习器１４２		TM142
089B	招式学习器１４３		TM143
089C	招式学习器１４４		TM144
089D	招式学习器１４５		TM145
089E	招式学习器１４６		TM146
089F	招式学习器１４７		TM147
08A0	招式学习器１４８		TM148
08A1	招式学习器１４９		TM149
08A2	招式学习器１５０		TM150
08A3	招式学习器１５１		TM151
08A4	招式学习器１５２		TM152
08A5	招式学习器１５３		TM153
08A6	招式学习器１５４		TM154
08A7	招式学习器１５５		TM155
08A8	招式学习器１５６		TM156
08A9	招式学习器１５７		TM157
08AA	招式学习器１５８		TM158
08AB	招式学习器１５９		TM159
08AC	招式学习器１６０		TM160
08AD	招式学习器１６１		TM161
08AE	招式学习器１６２		TM162
08AF	招式学习器１６３		TM163
08B0	招式学习器１６４		TM164
08B1	招式学习器１６５		TM165
08B2	招式学习器１６６		TM166
08B3	招式学习器１６７		TM167
08B4	招式学习器１６８		TM168
08B5	招式学习器１６９		TM169
08B6	招式学习器１７０		TM170
08B7	招式学习器１７１		TM171
0907	野餐组合		Picnic Set
0909	校园水壶		Academy Bottle
090A	校园水壶		Academy Bottle
090B	圆点水壶		Polka-Dot Bottle
090C	条纹水壶		Striped Bottle
090D	菱纹水壶		Diamond Bottle
090E	校园水杯		Academy Cup
090F	校园水杯		Academy Cup
0910	直条纹水杯		Striped Cup
0911	圆点水杯		Polka-Dot Cup
0912	花朵水杯		Flower Pattern Cup
0913	校园桌巾		Academy Tablecloth
0914	校园桌巾		Academy Tablecloth
0915	幻彩桌巾		Whimsical Tablecloth
0916	大自然桌巾		Leafy Tablecloth
0917	鬼祟桌巾		Spooky Tablecloth
0918			
0919	校园球		Academy Ball
091A	校园球		Academy Ball
091B	玛力露球		Marill Ball
091C	毛线球		Yarn Ball
091D	电竞球		Cyber Ball
091E	金色三明治签		Gold Pick
091F	银色三明治签		Silver Pick
0920	红旗子三明治签		Red-Flag Pick
0921	蓝旗子三明治签		Blue-Flag Pick
0922	皮卡丘三明治签		Pika-Pika Pick
0923	眨眼皮卡丘三明治签		Winking Pika Pick
0924	伊布三明治签		Vee-Vee Pick
0925	笑脸伊布三明治签		Smiling Vee Pick
0926	蓝珠珠三明治签		Blue Poké Ball Pick
0927			
0928	庆祝之铠		Auspicious Armor
0929	头领凭证		Leader’s Crest
092A			
092B			
092C	粉红水壶		Pink Bottle
092D	蓝色水壶		Blue Bottle
092E	黄色水壶		Yellow Bottle
092F	红纹不锈钢水壶		Steel Bottle (R)
0930	黄纹不锈钢水壶		Steel Bottle (Y)
0931	蓝纹不锈钢水壶		Steel Bottle (B)
0932	银钛水壶		Silver Bottle
0933	横条纹水杯		Barred Cup
0934	菱纹水杯		Diamond Pattern Cup
0935	火焰水杯		Fire Pattern Cup
0936	粉红水杯		Pink Cup
0937	蓝色水杯		Blue Cup
0938	黄色水杯		Yellow Cup
0939	皮卡丘水杯		Pikachu Cup
093A	伊布水杯		Eevee Cup
093B	呆呆兽水杯		Slowpoke Cup
093C	银钛水杯		Silver Cup
093D	瑜珈球		Exercise Ball
093E	黄色格子桌巾		Plaid Tablecloth (Y)
093F	蓝色格子桌巾		Plaid Tablecloth (B)
0940	红色格子桌巾		Plaid Tablecloth (R)
0941	黑白草丛桌巾		B&W Grass Tablecloth
0942	对决桌巾		Battle Tablecloth
0943	怪兽桌巾		Monstrous Tablecloth
0944	条纹桌巾		Striped Tablecloth
0945	菱纹桌巾		Diamond Tablecloth
0946	圆点桌巾		Polka-Dot Tablecloth
0947	紫色桌巾		Lilac Tablecloth
0948	浅绿桌巾		Mint Tablecloth
0949	米色桌巾		Peach Tablecloth
094A	黄色桌巾		Yellow Tablecloth
094B	蓝色桌巾		Blue Tablecloth
094C	粉红桌巾		Pink Tablecloth
094D	金钛水壶		Gold Bottle
094E	铜钛水壶		Bronze Bottle
094F	金钛水杯		Gold Cup
0950	铜钛水杯		Bronze Cup
0951	绿珠珠三明治签		Green Poké Ball Pick
0952	红珠珠三明治签		Red Poké Ball Pick
0953	烟花祝庆三明治签		Party Sparkler Pick
0954	勇者之剑三明治签		Heroic Sword Pick
0955	魔法星星三明治签		Magical Star Pick
0956	魔法甜心三明治签		Magical Heart Pick
0957	阳伞三明治签		Parasol Pick
0958	晴空花三明治签		Blue-Sky Flower Pick
0959	夕阳花三明治签		Sunset Flower Pick
095A	朝霞花三明治签		Sunrise Flower Pick
095B	蓝色盘子		Blue Dish
095C	绿色盘子		Green Dish
095D	橘色盘子		Orange Dish
095E	红色盘子		Red Dish
095F	白色盘子		White Dish
0960	黄色盘子		
